Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Trevo1,Trevo2,Ganhadores 6 Números + 2 Trevos,Cidade / UF,Rateio 6 acertos + 2 Trevos,Ganhadores 6  acertos + 1 ou nenhum Trevo,Rateio 6  acertos + 1  ou nenhum Trevo ,Ganhadores 5  acertos + 2 Trevos ,Rateio 5  acertos + 2 Trevos ,Ganhadores 5 acertos + 1 ou nenhum Trevo ,Rateio 5  acertos + 1 ou nenhum Trevo,Ganhadores 4  acertos + 2 Trevos ,Rateio 4  acertos + 2 Trevos ,Ganhadores 4  acertos + 1 ou nenhum Trevo ,Rateio 4  acertos + 1 ou nenhum Trevo ,Ganhadores 3  acertos + 2 Trevos ,Rateio 3  acertos + 2 Trevos ,Ganhadores 3  acertos + 1 Trevo  ,Rateio 3  acertos + 1 Trevo  ,Ganhadores 2  acertos + 2 Trevos ,Rateio 2  acertos + 2 Trevos ,Ganhadores 2  acertos + 1 Trevo  ,Rateio 2  acertos + 1 Trevo  ,Acumulado 6 acertos + 2 Trevos,Arrecadacao Total,Estimativa Prêmio,Observação
1,28/05/2022,1,3,7,15,23,44,2.0,4.0,0.0,,"R$0,00",1.0,"R$392.567,53",6.0,"R$52.342,34",80.0,"R$3.925,67",227.0,"R$1.482,31",3501.0,"R$96,11",4725.0,"R$50,00",34159.0,"R$24,00",33671.0,"R$12,00",243056.0,"R$6,00",Sim,"R$20.704.332,00","R$10.000.000,00",
2,04/06/2022,13,16,35,41,42,47,2.0,6.0,0.0,,"R$0,00",0.0,"R$0,00",1.0,"R$327.486,37",20.0,"R$7.277,48",76.0,"R$1.436,34",1010.0,"R$154,40",1547.0,"R$50,00",11137.0,"R$24,00",12908.0,"R$12,00",89778.0,"R$6,00",Sim,"R$8.832.150,00","R$10.000.000,00",
3,11/06/2022,1,9,17,30,31,44,1.0,4.0,0.0,,"R$0,00",0.0,"R$0,00",0.0,"R$0,00",19.0,"R$20.410,25",60.0,"R$1.491,52",1031.0,"R$124,00",1200.0,"R$50,00",10591.0,"R$24,00",8978.0,"R$12,00",82063.0,"R$6,00",Sim,"R$7.394.010,00","R$10.000.000,00",
4,18/06/2022,6,23,25,33,34,47,1.0,2.0,0.0,,"R$0,00",0.0,"R$0,00",0.0,"R$0,00",28.0,"R$11.108,46",40.0,"R$1.794,44",882.0,"R$116,25",854.0,"R$50,00",9146.0,"R$24,00",6508.0,"R$12,00",71386.0,"R$6,00",Sim,"R$6.016.170,00","R$10.000.000,00",
5,25/06/2022,6,16,21,24,26,45,2.0,5.0,0.0,,"R$0,00",0.0,"R$0,00",2.0,"R$100.965,13",10.0,"R$8.974,68",59.0,"R$1.629,78",580.0,"R$165,78",1055.0,"R$50,00",6995.0,"R$24,00",9061.0,"R$12,00",57626.0,"R$6,00",Sim,"R$5.530.842,00","R$10.000.000,00",
6,02/07/2022,1,19,22,32,39,45,1.0,5.0,0.0,,"R$0,00",0.0,"R$0,00",0.0,"R$0,00",11.0,"R$26.091,29",45.0,"R$1.471,82",663.0,"R$142,71",1028.0,"R$50,00",7362.0,"R$24,00",7834.0,"R$12,00",60497.0,"R$6,00",Sim,"R$5.492.682,00","R$10.000.000,00",
7,09/07/2022,9,12,35,44,47,48,1.0,5.0,0.0,,"R$0,00",0.0,"R$0,00",0.0,"R$0,00",15.0,"R$19.592,68",37.0,"R$1.833,00",799.0,"R$121,26",1044.0,"R$50,00",8342.0,"R$24,00",7909.0,"R$12,00",63562.0,"R$6,00",Sim,"R$5.690.448,00","R$10.000.000,00",
8,16/07/2022,1,4,5,16,38,50,1.0,3.0,0.0,,"R$0,00",0.0,"R$0,00",1.0,"R$175.341,93",11.0,"R$7.084,52",49.0,"R$1.704,00",807.0,"R$103,46",929.0,"R$50,00",8915.0,"R$24,00",7292.0,"R$12,00",61817.0,"R$6,00",Sim,"R$5.124.552,00","R$10.000.000,00",
9,23/07/2022,6,11,12,14,15,18,3.0,4.0,0.0,,"R$0,00",0.0,"R$0,00",0.0,"R$0,00",30.0,"R$8.970,13",57.0,"R$1.556,41",897.0,"R$98,90",1117.0,"R$50,00",7866.0,"R$24,00",8596.0,"R$12,00",61176.0,"R$6,00",Sim,"R$5.326.134,00","R$10.000.000,00",
10,30/07/2022,4,6,10,42,47,48,2.0,5.0,0.0,,"R$0,00",0.0,"R$0,00",1.0,"R$203.478,92",12.0,"R$7.536,26",37.0,"R$1.833,14",637.0,"R$152,11",1112.0,"R$50,00",7812.0,"R$24,00",9817.0,"R$12,00",64285.0,"R$6,00",Sim,"R$5.734.266,00","R$10.000.000,00",
11,06/08/2022,4,13,15,31,39,45,2.0,4.0,0.0,,"R$0,00",0.0,"R$0,00",0.0,"R$0,00",17.0,"R$16.930,65",62.0,"R$1.530,42",678.0,"R$139,94",1153.0,"R$50,00",7695.0,"R$24,00",8934.0,"R$12,00",59931.0,"R$6,00",Sim,"R$5.561.970,00","R$11.000.000,00",
12,13/08/2022,6,20,24,26,31,50,1.0,5.0,0.0,,"R$0,00",0.0,"R$0,00",1.0,"R$193.462,70",8.0,"R$10.747,93",52.0,"R$1.771,63",857.0,"R$107,49",1013.0,"R$50,00",7819.0,"R$24,00",7732.0,"R$12,00",57420.0,"R$6,00",Sim,"R$5.368.854,00","R$11.500.000,00",
13,20/08/2022,14,31,39,44,45,46,1.0,2.0,0.0,,"R$0,00",0.0,"R$0,00",0.0,"R$0,00",11.0,"R$25.265,50",44.0,"R$1.457,63",597.0,"R$153,47",770.0,"R$50,00",7357.0,"R$24,00",5863.0,"R$12,00",57034.0,"R$6,00",Sim,"R$5.231.988,00","R$12.000.000,00",
14,27/08/2022,12,13,42,46,48,49,1.0,3.0,0.0,,"R$0,00",0.0,"R$0,00",0.0,"R$0,00",4.0,"R$60.000,69",41.0,"R$1.350,86",615.0,"R$128,65",881.0,"R$50,00",7143.0,"R$24,00",7075.0,"R$12,00",57643.0,"R$6,00",Sim,"R$4.771.290,00","R$12.500.000,00",
15,03/09/2022,3,35,37,39,41,50,4.0,6.0,0.0,,"R$0,00",0.0,"R$0,00",1.0,"R$181.887,33",9.0,"R$8.982,09",37.0,"R$1.638,63",620.0,"R$139,69",656.0,"R$50,00",6202.0,"R$24,00",5473.0,"R$12,00",50154.0,"R$6,00",Sim,"R$4.836.516,00","R$13.000.000,00",
16,10/09/2022,3,11,13,23,33,47,2.0,5.0,0.0,,"R$0,00",1.0,"R$74.012,12",3.0,"R$19.736,57",44.0,"R$1.345,68",116.0,"R$546,88",1119.0,"R$56,69",1490.0,"R$50,00",8824.0,"R$24,00",9590.0,"R$12,00",57442.0,"R$6,00",Sim,"R$4.378.860,00","R$13.500.000,00",
17,17/09/2022,3,17,25,46,48,50,1.0,3.0,0.0,,"R$0,00",0.0,"R$0,00",0.0,"R$0,00",23.0,"R$10.795,31",84.0,"R$974,45",749.0,"R$109,28",971.0,"R$50,00",7870.0,"R$24,00",7608.0,"R$12,00",59692.0,"R$6,00",Sim,"R$4.980.564,00","R$14.000.000,00",
18,24/09/2022,10,18,20,39,42,49,3.0,4.0,0.0,,"R$0,00",0.0,"R$0,00",1.0,"R$176.935,29",11.0,"R$7.148,90",45.0,"R$1.872,33",645.0,"R$130,62",898.0,"R$50,00",7042.0,"R$24,00",7518.0,"R$12,00",54459.0,"R$6,00",Sim,"R$4.941.726,00","R$15.000.000,00",
19,01/10/2022,6,19,33,34,39,47,3.0,5.0,0.0,,"R$0,00",0.0,"R$0,00",0.0,"R$0,00",16.0,"R$16.878,22",82.0,"R$1.085,70",939.0,"R$94,81",1213.0,"R$50,00",8379.0,"R$24,00",9394.0,"R$12,00",61370.0,"R$6,00",Sim,"R$5.406.408,00","R$15.500.000,00",
20,08/10/2022,4,8,10,11,22,25,5.0,6.0,0.0,,"R$0,00",1.0,"R$99.034,12",1.0,"R$79.227,30",37.0,"R$2.141,28",60.0,"R$1.414,77",1056.0,"R$80,38",1001.0,"R$50,00",9717.0,"R$24,00",6409.0,"R$12,00",67934.0,"R$6,00",Sim,"R$5.299.686,00","R$16.000.000,00",
21,15/10/2022,4,26,27,29,34,35,5.0,6.0,0.0,,"R$0,00",0.0,"R$0,00",1.0,"R$173.150,46",6.0,"R$12.825,96",25.0,"R$2.308,67",468.0,"R$176,18",569.0,"R$50,00",5742.0,"R$24,00",4792.0,"R$12,00",50457.0,"R$6,00",Sim,"R$4.615.344,00","R$16.500.000,00",
22,22/10/2022,5,22,28,46,47,48,3.0,4.0,0.0,,"R$0,00",0.0,"R$0,00",0.0,"R$0,00",16.0,"R$14.797,05",64.0,"R$1.219,53",765.0,"R$102,02",1217.0,"R$50,00",7623.0,"R$24,00",7931.0,"R$12,00",55288.0,"R$6,00",Sim,"R$4.787.328,00","R$17.000.000,00",
23,29/10/2022,4,5,11,27,34,50,1.0,5.0,0.0,,"R$0,00",0.0,"R$0,00",1.0,"R$153.675,28",13.0,"R$5.253,85",57.0,"R$1.283,83",759.0,"R$96,41",1091.0,"R$50,00",8256.0,"R$24,00",7574.0,"R$12,00",56658.0,"R$6,00",Sim,"R$4.621.320,00","R$17.500.000,00",
24,05/11/2022,22,29,31,32,36,45,5.0,6.0,0.0,,"R$0,00",0.0,"R$0,00",1.0,"R$165.382,79",10.0,"R$7.350,35",40.0,"R$1.378,19",465.0,"R$169,36",641.0,"R$50,00",5833.0,"R$24,00",4583.0,"R$12,00",47338.0,"R$6,00",Sim,"R$4.428.162,00","R$18.000.000,00",
25,12/11/2022,10,14,21,31,39,42,3.0,6.0,0.0,,"R$0,00",0.0,"R$0,00",0.0,"R$0,00",11.0,"R$27.259,84",36.0,"R$1.922,17",736.0,"R$134,31",858.0,"R$50,00",8049.0,"R$24,00",6830.0,"R$12,00",62450.0,"R$6,00",Sim,"R$5.682.774,00","R$19.000.000,00",
26,19/11/2022,5,12,26,31,34,50,5.0,6.0,0.0,,"R$0,00",0.0,"R$0,00",1.0,"R$166.118,52",13.0,"R$5.679,27",39.0,"R$1.419,81",670.0,"R$118,06",821.0,"R$50,00",8071.0,"R$24,00",6008.0,"R$12,00",57594.0,"R$6,00",Sim,"R$4.785.564,00","R$19.500.000,00",
27,26/11/2022,3,16,17,21,23,37,1.0,4.0,0.0,,"R$0,00",0.0,"R$0,00",1.0,"R$158.523,57",10.0,"R$7.045,49",39.0,"R$1.354,90",593.0,"R$127,29",682.0,"R$50,00",6496.0,"R$24,00",5578.0,"R$12,00",50063.0,"R$6,00",Sim,"R$4.408.284,00","R$20.000.000,00",
28,03/12/2022,2,7,29,40,41,50,2.0,6.0,0.0,,"R$0,00",0.0,"R$0,00",2.0,"R$81.529,87",14.0,"R$5.176,50",61.0,"R$1.272,90",560.0,"R$138,65",909.0,"R$50,00",6425.0,"R$24,00",6958.0,"R$12,00",49394.0,"R$6,00",Sim,"R$4.549.590,00","R$20.500.000,00",
