Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Ganhadores 5 acertos,Cidade / UF,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Ganhadores 3 acertos,Rateio 3 acertos,Ganhadores 2 acertos,Rateio 2 acertos,Acumulado 5 acertos,Arrecadacao Total,Estimativa Premio,Acumulado Sorteio Especial Quina de São João,observação
1,13/03/1994,25,45,60,76,79,3.0,,"R$75.731.225,00",127.0,"R$1.788.927,00",7030.0,"R$42.982,00",0.0,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",
2,17/03/1994,13,30,58,63,64,1.0,,"R$118.499.397,00",105.0,"R$1.128.565,00",4861.0,"R$32.422,00",0.0,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",
3,20/03/1994,5,15,32,33,48,1.0,,"R$154.244.270,00",232.0,"R$664.846,00",10196.0,"R$20.120,00",0.0,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",
4,24/03/1994,27,57,60,61,77,1.0,,"R$124.185.246,00",78.0,"R$1.592.119,00",4033.0,"R$40.954,00",0.0,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",
5,27/03/1994,19,44,53,54,71,1.0,,"R$147.595.715,00",137.0,"R$1.077.341,00",5338.0,"R$36.774,00",0.0,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",
6,03/04/1994,4,45,54,65,67,1.0,,"R$165.397.879,00",157.0,"R$1.053.490,00",7286.0,"R$30.192,00",0.0,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",
7,07/04/1994,9,21,37,42,68,2.0,,"R$77.956.048,00",153.0,"R$1.019.033,00",5621.0,"R$36.891,00",0.0,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",
8,10/04/1994,5,16,26,28,62,0.0,,"R$0,00",178.0,"R$1.208.140,00",8290.0,"R$34.501,00",0.0,"R$0,00","R$215.049.006,00","R$0,00","R$0,00","R$0,00",
9,14/04/1994,4,15,44,64,73,0.0,,"R$0,00",160.0,"R$1.486.217,00",7584.0,"R$41.701,00",0.0,"R$0,00","R$452.843.743,00","R$0,00","R$0,00","R$0,00",
10,17/04/1994,20,32,49,54,62,0.0,,"R$0,00",117.0,"R$2.414.361,00",6089.0,"R$61.701,00",0.0,"R$0,00","R$735.323.913,00","R$0,00","R$0,00","R$0,00",
