Concurso,Data Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Ganhadores 7 acertos ,Cidade / UF,Rateio 7 acertos,Ganhadores 6 acertos,Rateio 6 acertos,Ganhadores 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Ganhadores 3 acertos,Rateio 3 acertos,Acumulado 7 acertos,Arrecadação Total,Estimativa Prêmio,Observação
1,02/10/2020,2,9,9,8,7,7,6,0,,"R$0,00",12,"R$16.916,44",272,"R$1.066,16",4330,"R$66,97",41129,"R$5,00","R$744.334,69","R$4.934.145,00","R$1.100.000,00","Os valores apresentados no link Locais da Sorte do Super Sete correspondem aos prêmios brutos, sem o desconto do imposto de renda sobre prêmios."
2,05/10/2020,8,8,1,5,6,7,7,0,,"R$0,00",4,"R$22.234,57",157,"R$809,26",2308,"R$55,04",21215,"R$5,00","R$1.070.457,92","R$2.198.630,00","R$1.400.000,00","Os valores apresentados no link Locais da Sorte do Super Sete correspondem aos prêmios brutos, sem o desconto do imposto de renda sobre prêmios."
3,07/10/2020,7,2,6,6,5,4,4,1,SALVADOR/BA,"R$1.430.638,83",5,"R$19.645,81",227,"R$618,18",2642,"R$53,11",23324,"R$5,00","R$0,00","R$2.427.070,00","R$300.000,00","Os valores apresentados no link Locais da Sorte do Super Sete correspondem aos prêmios brutos, sem o desconto do imposto de renda sobre prêmios."
4,09/10/2020,5,7,8,1,8,2,5,0,,"R$0,00",2,"R$45.610,79",139,"R$937,52",2031,"R$64,16",18493,"R$5,00","R$334.485,24","R$2.217.397,50","R$700.000,00","Os valores apresentados no link Locais da Sorte do Super Sete correspondem aos prêmios brutos, sem o desconto do imposto de renda sobre prêmios."
5,14/10/2020,6,4,0,1,0,6,9,0,,"R$0,00",7,"R$16.107,14",132,"R$1.220,23",2288,"R$70,39",22005,"R$5,00","R$747.915,95","R$2.730.875,00","R$1.200.000,00","Os valores apresentados no link Locais da Sorte do Super Sete correspondem aos prêmios brutos, sem o desconto do imposto de renda sobre prêmios."
6,16/10/2020,5,7,3,3,4,1,1,0,,"R$0,00",6,"R$15.270,32",181,"R$723,14",2303,"R$56,83",20941,"R$5,00","R$1.083.869,13","R$2.254.427,50","R$1.500.000,00","Os valores apresentados no link Locais da Sorte do Super Sete correspondem aos prêmios brutos, sem o desconto do imposto de renda sobre prêmios."
7,19/10/2020,0,7,7,6,4,4,9,0,,"R$0,00",10,"R$8.448,44",164,"R$735,92",2254,"R$53,54",21719,"R$5,00","R$1.393.655,45","R$2.106.595,00","R$1.750.000,00",
8,21/10/2020,7,0,9,2,0,2,5,0,,"R$0,00",2,"R$45.499,32",99,"R$1.313,11",1661,"R$78,26",16179,"R$5,00","R$1.727.322,94","R$2.185.810,00","R$2.100.000,00",
9,23/10/2020,8,6,2,0,2,6,7,0,,"R$0,00",5,"R$19.528,27",132,"R$1.056,72",2151,"R$64,84",19665,"R$5,00","R$2.085.353,34","R$2.371.955,00","R$2.500.000,00",
10,26/10/2020,8,9,9,2,9,6,5,0,,"R$0,00",1,"R$91.701,37",88,"R$1.488,65",1722,"R$76,07",18476,"R$5,00","R$2.421.598,82","R$2.227.742,50","R$2.800.000,00",
